Words,Types,Sentences,Title
4690,1212,227,Barack_Obama_2008-08-28
1961,659,80,Barack_Obama_2008-11-04
2406,890,109,Barack_Obama_2009-01-20
877,388,32,Barack_Obama_2009-01-29
2472,848,109,Barack_Obama_2009-02-07
6113,1500,277,Barack_Obama_2009-02-24
1506,609,59,Barack_Obama_2009-05-26
5997,1483,306,Barack_Obama_2009-06-04
5595,1332,274,Barack_Obama_2009-09-09
4615,1251,227,Barack_Obama_2009-12-01
4244,1288,206,Barack_Obama_2009-12-10
7280,1715,420,Barack_Obama_2010-01-27
5159,1122,244,Barack_Obama_2010-02-09
4078,886,258,Barack_Obama_2010-03-15
3522,1022,170,Barack_Obama_2010-04-15
3465,1008,179,Barack_Obama_2010-04-28
2687,891,135,Barack_Obama_2010-06-15
2568,840,137,Barack_Obama_2010-08-31
4075,1185,196,Barack_Obama_2010-09-23
8507,1454,353,Barack_Obama_2010-11-03
2733,899,142,Barack_Obama_2011-01-12
6934,1707,404,Barack_Obama_2011-01-25
1389,498,74,Barack_Obama_2011-05-01
5653,1509,271,Barack_Obama_2011-05-19
4237,1224,176,Barack_Obama_2011-05-25
2029,734,98,Barack_Obama_2011-06-22
4117,1035,243,Barack_Obama_2011-09-08
959,387,50,Barack_Obama_2011-10-21
7068,1739,418,Barack_Obama_2012-01-24
4514,1240,229,Barack_Obama_2012-09-06
2160,728,102,Barack_Obama_2012-11-06
1679,601,89,Barack_Obama_2012-12-16
2110,780,88,Barack_Obama_2013-01-21
3005,848,202,Barack_Obama_2013-01-29
6844,1728,359,Barack_Obama_2013-02-13
5305,1065,273,Barack_Obama_2013-03-01
5387,1337,287,Barack_Obama_2013-03-21
3172,811,205,Barack_Obama_2013-04-08
2148,664,85,Barack_Obama_2013-07-19
4361,1019,216,Barack_Obama_2013-07-24
2202,768,112,Barack_Obama_2013-09-10
6545,1559,295,Barack_Obama_2013-12-04
6853,1791,346,Barack_Obama_2014-01-28
2215,718,127,Barack_Obama_2014-11-20
6770,1700,373,Barack_Obama_2015-01-20
3699,1211,213,Barack_Obama_2015-03-07
2961,982,177,Barack_Obama_2015-06-26
6036,1585,345,Barack_Obama_2016-01-12
4054,1094,226,Barack_Obama_2016-03-22
4807,1459,306,Barack_Obama_2016-05-15
1435,541,87,Donald_Trump_2017-01-20
4697,1420,258,Donald_Trump_2017-02-28
2451,733,189,Donald_Trump_2017-06-29
4282,896,294,Donald_Trump_2017-07-24
4589,1291,216,Donald_Trump_2017-09-19
3056,994,198,Donald_Trump_2017-12-18
3535,938,220,Donald_Trump_2018-01-26
5183,1602,318,Donald_Trump_2018-01-30
5483,1083,432,Donald_Trump_2018-02-01
701,323,38,Donald_Trump_2018-02-15
9201,1424,871,Donald_Trump_2018-02-23
4406,1005,383,Donald_Trump_2018-03-19
5485,1189,514,Donald_Trump_2018-07-24
3640,1184,211,Donald_Trump_2018-09-25
1529,635,87,Donald_Trump_2019-01-19
5235,1623,293,Donald_Trump_2019-02-05
8662,1273,805,Donald_Trump_2019-02-15
3858,1272,221,Donald_Trump_2019-09-24
6667,1264,553,Donald_Trump_2019-09-25
730,357,32,Donald_Trump_2019-10-27
507,272,19,Donald_Trump_2020-01-03
1029,485,44,Donald_Trump_2020-01-08
1485,550,83,Donald_Trump_2020-01-24
6378,1862,344,Donald_Trump_2020-02-04
9454,1453,935,Donald_Trump_2020-02-06
1245,535,38,Donald_Trump_2020-03-11
12392,2109,628,Donald_Trump_2020-03-13
26220,2950,1470,Donald_Trump_2020-04-13
9707,1773,552,Donald_Trump_2020-04-15
12305,2047,660,Donald_Trump_2020-04-23
790,378,41,Donald_Trump_2020-06-01
2878,1067,144,Donald_Trump_2020-06-13
12602,1976,1134,Donald_Trump_2020-06-20
