Index,TokensCount,TypesCount,TypesCountMean,TypesCountStdDev,Sentences,Language,Modified,Title,Author
0,4690,1212,3.869637,11.87672,227,en,1704194868883,Barack_Obama_2008-08-28,
1,1961,659,2.975721,7.3148484,80,en,1704194868883,Barack_Obama_2008-11-04,
2,2406,890,2.7033708,8.229941,109,en,1704194868883,Barack_Obama_2009-01-20,
3,877,388,2.2603092,3.5469203,32,en,1704194868983,Barack_Obama_2009-01-29,
4,2472,848,2.9150944,8.003238,109,en,1704194868883,Barack_Obama_2009-02-07,
5,6113,1500,4.075333,14.689594,277,en,1704194868883,Barack_Obama_2009-02-24,
6,1506,609,2.4729064,6.120474,59,en,1704194868983,Barack_Obama_2009-05-26,
7,5997,1483,4.04383,15.022479,306,en,1704194868883,Barack_Obama_2009-06-04,
8,5595,1332,4.2004504,13.000765,274,en,1704194868883,Barack_Obama_2009-09-09,
9,4615,1251,3.6890488,13.129936,227,en,1704194868883,Barack_Obama_2009-12-01,
10,4244,1288,3.295031,11.410743,206,en,1704194868887,Barack_Obama_2009-12-10,
11,7280,1715,4.244898,15.222372,420,en,1704194868887,Barack_Obama_2010-01-27,
12,5159,1122,4.598039,14.128874,244,en,1704194868887,Barack_Obama_2010-02-09,
13,4078,886,4.602709,11.251021,258,en,1704194868887,Barack_Obama_2010-03-15,
14,3522,1022,3.446184,10.301647,170,en,1704194868887,Barack_Obama_2010-04-15,
15,3465,1008,3.4375,10.138958,179,en,1704194868887,Barack_Obama_2010-04-28,
16,2687,891,3.0157127,9.131116,135,en,1704194868887,Barack_Obama_2010-06-15,
17,2568,840,3.057143,8.485931,137,en,1704194868887,Barack_Obama_2010-08-31,
18,4075,1185,3.4388185,11.876682,196,en,1704194868887,Barack_Obama_2010-09-23,
19,8507,1454,5.8507566,21.308771,353,en,1704194868887,Barack_Obama_2010-11-03,
20,2733,899,3.0400445,8.090425,142,en,1704194868887,Barack_Obama_2011-01-12,
21,6934,1707,4.062097,15.441403,404,en,1704194868887,Barack_Obama_2011-01-25,
22,1389,498,2.7891567,6.051566,74,en,1704194868987,Barack_Obama_2011-05-01,
23,5653,1509,3.7461896,14.828099,271,en,1704194868887,Barack_Obama_2011-05-19,
24,4237,1224,3.4616013,12.797121,176,en,1704194868887,Barack_Obama_2011-05-25,
25,2029,734,2.764305,6.801836,98,en,1704194868887,Barack_Obama_2011-06-22,
26,4117,1035,3.9777777,11.185982,243,en,1704194868887,Barack_Obama_2011-09-08,
