Words,Types,Sentences,Title
10840,1550,419,Abraham_Lincoln_1852-07-06
33361,2445,1466,Abraham_Lincoln_1854-10-16
3221,881,128,Abraham_Lincoln_1858-06-16
13781,1439,526,Abraham_Lincoln_1860-02-27
154,98,9,Abraham_Lincoln_1861-02-11
3642,1009,135,Abraham_Lincoln_1861-03-04
6273,1449,210,Abraham_Lincoln_1861-07-04
6999,1774,213,Abraham_Lincoln_1861-12-03
8414,1939,312,Abraham_Lincoln_1862-12-01
715,263,8,Abraham_Lincoln_1863-01-01
3378,594,188,Abraham_Lincoln_1863-08-26
271,138,10,Abraham_Lincoln_1863-11-19
6130,1645,195,Abraham_Lincoln_1863-12-08
5879,1638,205,Abraham_Lincoln_1864-12-06
701,338,26,Abraham_Lincoln_1865-03-04
1128,500,25,Andrew_Jackson_1829-03-04
401,152,4,Andrew_Jackson_1829-05-11
10542,2225,299,Andrew_Jackson_1829-12-08
887,341,27,Andrew_Jackson_1830-05-06
5484,1288,125,Andrew_Jackson_1830-05-27
846,197,5,Andrew_Jackson_1830-10-05
15033,2630,388,Andrew_Jackson_1830-12-06
2615,730,70,Andrew_Jackson_1831-02-22
7193,1707,166,Andrew_Jackson_1831-12-06
409,196,8,Andrew_Jackson_1832-02-15
8104,1464,240,Andrew_Jackson_1832-07-10
7879,1819,199,Andrew_Jackson_1832-12-04
591,265,9,Andrew_Jackson_1832-12-06
8905,1671,273,Andrew_Jackson_1832-12-10
11453,1850,206,Andrew_Jackson_1833-01-16
1176,474,30,Andrew_Jackson_1833-03-04
7393,1505,163,Andrew_Jackson_1833-09-18
7908,1665,187,Andrew_Jackson_1833-12-03
313,145,7,Andrew_Jackson_1833-12-12
12625,1972,256,Andrew_Jackson_1834-04-15
456,200,7,Andrew_Jackson_1834-04-21
13467,2483,319,Andrew_Jackson_1834-12-01
10835,2160,240,Andrew_Jackson_1835-12-07
12383,2302,292,Andrew_Jackson_1836-12-05
1802,630,39,Andrew_Jackson_1836-12-21
8254,1802,187,Andrew_Jackson_1837-03-04
356,164,15,Andrew_Johnson_1865-04-17
233,136,3,Andrew_Johnson_1865-04-29
904,316,37,Andrew_Johnson_1865-05-02
1034,350,20,Andrew_Johnson_1865-05-29
953,335,29,Andrew_Johnson_1865-05-29_2
272,115,2,Andrew_Johnson_1865-06-02
302,138,10,Andrew_Johnson_1865-06-06
8640,2451,278,Andrew_Johnson_1865-12-04
645,286,13,Andrew_Johnson_1865-12-18
3884,999,102,Andrew_Johnson_1866-02-19
4432,999,106,Andrew_Johnson_1866-03-27
1381,427,9,Andrew_Johnson_1866-04-02
1293,390,23,Andrew_Johnson_1866-07-24
1941,483,9,Andrew_Johnson_1866-08-20
7151,1785,202,Andrew_Johnson_1866-12-03
2886,760,64,Andrew_Johnson_1867-01-28
1446,461,25,Andrew_Johnson_1867-01-29
6742,1487,205,Andrew_Johnson_1867-03-02
2124,665,61,Andrew_Johnson_1867-03-23
1831,500,46,Andrew_Johnson_1867-06-20
4633,915,144,Andrew_Johnson_1867-07-19
1276,429,20,Andrew_Johnson_1867-09-07
12028,2546,382,Andrew_Johnson_1867-12-03
5426,1079,208,Andrew_Johnson_1867-12-12
3605,740,100,Andrew_Johnson_1868-02-11
3237,635,84,Andrew_Johnson_1868-02-22
792,329,19,Andrew_Johnson_1868-03-25
1334,447,28,Andrew_Johnson_1868-06-20
3407,692,64,Andrew_Johnson_1868-07-18
1629,427,34,Andrew_Johnson_1868-07-20
9883,2243,280,Andrew_Johnson_1868-12-08
4106,1439,157,Benjamin_Harrison_1889-03-04
359,175,11,Benjamin_Harrison_1889-04-04
766,305,18,Benjamin_Harrison_1889-06-04
13038,2617,437,Benjamin_Harrison_1889-12-03
13027,2614,438,Benjamin_Harrison_1889-12-03_2
208,110,10,Benjamin_Harrison_1890-04-19
290,175,13,Benjamin_Harrison_1890-05-30
377,209,8,Benjamin_Harrison_1890-06-19
946,257,10,Benjamin_Harrison_1890-10-23
11568,2451,362,Benjamin_Harrison_1890-12-01
11567,2450,361,Benjamin_Harrison_1890-12-01_2
490,211,11,Benjamin_Harrison_1891-01-31
16368,2928,456,Benjamin_Harrison_1891-12-09
16368,2928,456,Benjamin_Harrison_1891-12-09_2
6005,1352,153,Benjamin_Harrison_1892-01-25
303,149,7,Benjamin_Harrison_1892-01-28
7908,1864,245,Benjamin_Harrison_1892-09-03
13715,2650,421,Benjamin_Harrison_1892-12-06
13715,2650,421,Benjamin_Harrison_1892-12-06_2
656,279,26,Benjamin_Harrison_1893-02-15
2079,740,53,Benjamin_Harrison_1893-08-08
6196,1494,148,Benjamin_Harrison_1893-12-18
428,197,11,Benjamin_Harrison_1894-07-08
6978,1686,277,Calvin_Coolidge_1924-12-03
3786,1318,196,Calvin_Coolidge_1925-03-04
6320,1676,270,Calvin_Coolidge_1925-07-03
2409,756,98,Calvin_Coolidge_1925-10-20
10874,2242,477,Calvin_Coolidge_1925-12-08
4426,1179,204,Calvin_Coolidge_1926-07-05
10330,2235,439,Calvin_Coolidge_1926-12-07
