Index,TokensCount,TypesCount,TypesCountMean,TypesCountStdDev,Sentences,Language,Modified,Title,Author
0,10840,1550,6.9935484,30.518057,419,en,1704194852403,Abraham_Lincoln_1852-07-06,
1,33361,2445,13.644581,75.07835,1466,en,1704194852407,Abraham_Lincoln_1854-10-16,
2,3221,881,3.6560726,12.0961485,128,en,1704194852407,Abraham_Lincoln_1858-06-16,
3,13781,1439,9.57679,37.441723,526,en,1704194852407,Abraham_Lincoln_1860-02-27,
4,154,98,1.5714285,1.1753482,9,en,1704194852659,Abraham_Lincoln_1861-02-11,
5,3642,1009,3.6095145,12.408481,135,en,1704194852407,Abraham_Lincoln_1861-03-04,
6,6273,1449,4.3291926,19.750376,210,en,1704194852407,Abraham_Lincoln_1861-07-04,
7,6999,1774,3.9453213,20.7571,213,en,1704194852407,Abraham_Lincoln_1861-12-03,
8,8414,1939,4.33935,21.449808,312,en,1704194852407,Abraham_Lincoln_1862-12-01,
9,715,263,2.7186313,5.9093595,8,en,1704194852691,Abraham_Lincoln_1863-01-01,
10,3378,594,5.6868687,13.418152,188,en,1704194852407,Abraham_Lincoln_1863-08-26,
11,271,138,1.9637681,2.0124047,10,en,1704194852691,Abraham_Lincoln_1863-11-19,
12,6130,1645,3.7264438,18.975668,195,en,1704194852411,Abraham_Lincoln_1863-12-08,
13,5879,1638,3.589133,18.895632,205,en,1704194852411,Abraham_Lincoln_1864-12-06,
14,701,338,2.0739646,4.1072965,26,en,1704194852691,Abraham_Lincoln_1865-03-04,
15,1128,500,2.256,6.4704094,25,en,1704194852731,Andrew_Jackson_1829-03-04,
16,401,152,2.6381578,5.224179,4,en,1704194852731,Andrew_Jackson_1829-05-11,
17,10542,2225,4.7379775,28.89847,299,en,1704194852411,Andrew_Jackson_1829-12-08,
18,887,341,2.601173,6.688832,27,en,1704194852775,Andrew_Jackson_1830-05-06,
19,5484,1288,4.257764,20.446348,125,en,1704194852411,Andrew_Jackson_1830-05-27,
20,846,197,4.2944164,9.497293,5,en,1704194852775,Andrew_Jackson_1830-10-05,
21,15033,2630,5.7159696,38.22086,388,en,1704194852411,Andrew_Jackson_1830-12-06,
22,2615,730,3.5821917,13.983705,70,en,1704194852411,Andrew_Jackson_1831-02-22,
23,7193,1707,4.213825,21.898344,166,en,1704194852411,Andrew_Jackson_1831-12-06,
24,409,196,2.0867348,3.8706825,8,en,1704194852775,Andrew_Jackson_1832-02-15,
25,8104,1464,5.535519,27.674805,240,en,1704194852411,Andrew_Jackson_1832-07-10,
26,7879,1819,4.331501,24.350542,199,en,1704194852411,Andrew_Jackson_1832-12-04,
27,591,265,2.2301886,4.2679915,9,en,1704194852775,Andrew_Jackson_1832-12-06,
28,8905,1671,5.329144,26.607088,273,en,1704194852415,Andrew_Jackson_1832-12-10,
